# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: /home/ianguis/repositories/logic-circuits-projects/unidade-2/hexa-converter/hexaconverter.csv
# Generated on: Mon Dec  2 09:46:58 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
display0[0],Output,PIN_G18,7,B7_N2,PIN_W25,,,,,,
display0[1],Output,PIN_F22,7,B7_N0,PIN_W27,,,,,,
display0[2],Output,PIN_E17,7,B7_N2,PIN_AA26,,,,,,
display0[3],Output,PIN_L26,6,B6_N1,PIN_AA25,,,,,,
display0[4],Output,PIN_L25,6,B6_N1,PIN_Y25,,,,,,
display0[5],Output,PIN_J22,6,B6_N0,PIN_W26,,,,,,
display0[6],Output,PIN_H22,6,B6_N0,PIN_Y26,,,,,,
display1[0],Output,PIN_M24,6,B6_N2,PIN_AF27,,,,,,
display1[1],Output,PIN_Y22,5,B5_N0,PIN_AE26,,,,,,
display1[2],Output,PIN_W21,5,B5_N1,PIN_AE28,,,,,,
display1[3],Output,PIN_W22,5,B5_N0,PIN_AE27,,,,,,
display1[4],Output,PIN_W25,5,B5_N1,PIN_Y24,,,,,,
display1[5],Output,PIN_U23,5,B5_N1,PIN_Y23,,,,,,
display1[6],Output,PIN_U24,5,B5_N0,PIN_AD28,,,,,,
display2[0],Output,PIN_AA25,5,B5_N1,PIN_AD21,,,,,,
display2[1],Output,PIN_AA26,5,B5_N1,PIN_AF23,,,,,,
display2[2],Output,PIN_Y25,5,B5_N1,PIN_AE23,,,,,,
display2[3],Output,PIN_W26,5,B5_N1,PIN_AC21,,,,,,
display2[4],Output,PIN_Y26,5,B5_N1,PIN_AD24,,,,,,
display2[5],Output,PIN_W27,5,B5_N1,PIN_AB22,,,,,,
display2[6],Output,PIN_W28,5,B5_N1,PIN_Y19,,,,,,
display3[0],Output,PIN_V21,5,B5_N1,PIN_AC22,,,,,,
display3[1],Output,PIN_U21,5,B5_N0,PIN_AB21,,,,,,
display3[2],Output,PIN_AB20,4,B4_N0,PIN_AD22,,,,,,
display3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,,,,,,
display3[4],Output,PIN_AD24,4,B4_N0,PIN_AA19,,,,,,
display3[5],Output,PIN_AF23,4,B4_N0,PIN_AG26,,,,,,
display3[6],Output,PIN_Y19,4,B4_N0,PIN_AH26,,,,,,
number[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
number[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
number[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
number[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
number[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
number[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
number[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
number[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
number[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
number[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
number[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
number[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
number[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
number[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
number[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
number[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
