# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: /home/kywal/Projects/logic-circuits-projects/unidade-2/three-comparator/three_comparator.csv
# Generated on: Tue Dec  3 11:46:56 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
a_ctrl,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
b_ctrl,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
c_ctrl,Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
input[7],Input,PIN_AB26,5,B5_N1,PIN_T21,,,,,,
input[6],Input,PIN_AD26,5,B5_N2,PIN_R23,,,,,,
input[5],Input,PIN_AC26,5,B5_N2,PIN_T22,,,,,,
input[4],Input,PIN_AB27,5,B5_N1,PIN_W22,,,,,,
input[3],Input,PIN_AD27,5,B5_N2,PIN_R27,,,,,,
input[2],Input,PIN_AC27,5,B5_N2,PIN_R28,,,,,,
input[1],Input,PIN_AC28,5,B5_N2,PIN_R26,,,,,,
input[0],Input,PIN_AB28,5,B5_N1,PIN_R25,,,,,,
out_ctrl,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
s0,Output,PIN_G19,7,B7_N2,PIN_R22,,,,,,
s1,Output,PIN_F19,7,B7_N0,PIN_P21,,,,,,
s2,Output,PIN_E19,7,B7_N0,PIN_R21,,,,,,
a[7],Unknown,,,,,2.5 V,,,,,
