# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: /home/ianguis/repositories/logic-circuits-projects/unidade-2/ula/ula.csv
# Generated on: Fri Dec 13 11:40:02 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
botao_exibir_resultado,Input,PIN_R24,5,B5_N0,PIN_D8,,,,,,
botao_ler_a,Input,PIN_M23,6,B6_N2,PIN_D13,,,,,,
botao_ler_b,Input,PIN_M21,6,B6_N1,PIN_J27,,,,,,
botao_ler_seletor,Input,PIN_N21,6,B6_N2,PIN_C10,,,,,,
clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
display0[0],Output,PIN_G18,7,B7_N2,PIN_A10,,,,,,
display0[1],Output,PIN_F22,7,B7_N0,PIN_G14,,,,,,
display0[2],Output,PIN_E17,7,B7_N2,PIN_F14,,,,,,
display0[3],Output,PIN_L26,6,B6_N1,PIN_C12,,,,,,
display0[4],Output,PIN_L25,6,B6_N1,PIN_H13,,,,,,
display0[5],Output,PIN_J22,6,B6_N0,PIN_G13,,,,,,
display0[6],Output,PIN_H22,6,B6_N0,PIN_D15,,,,,,
display1[0],Output,PIN_M24,6,B6_N2,PIN_E14,,,,,,
display1[1],Output,PIN_Y22,5,B5_N0,PIN_B10,,,,,,
display1[2],Output,PIN_W21,5,B5_N1,PIN_D14,,,,,,
display1[3],Output,PIN_W22,5,B5_N0,PIN_J14,,,,,,
display1[4],Output,PIN_W25,5,B5_N1,PIN_H14,,,,,,
display1[5],Output,PIN_U23,5,B5_N1,PIN_D12,,,,,,
display1[6],Output,PIN_U24,5,B5_N0,PIN_C14,,,,,,
display2[0],Output,PIN_AA25,5,B5_N1,PIN_B7,,,,,,
display2[1],Output,PIN_AA26,5,B5_N1,PIN_H12,,,,,,
display2[2],Output,PIN_Y25,5,B5_N1,PIN_E11,,,,,,
display2[3],Output,PIN_W26,5,B5_N1,PIN_A7,,,,,,
display2[4],Output,PIN_Y26,5,B5_N1,PIN_B8,,,,,,
display2[5],Output,PIN_W27,5,B5_N1,PIN_C8,,,,,,
display2[6],Output,PIN_W28,5,B5_N1,PIN_G11,,,,,,
display3[0],Output,PIN_V21,5,B5_N1,PIN_C9,,,,,,
display3[1],Output,PIN_U21,5,B5_N0,PIN_G10,,,,,,
display3[2],Output,PIN_AB20,4,B4_N0,PIN_F10,,,,,,
display3[3],Output,PIN_AA21,4,B4_N0,PIN_J10,,,,,,
display3[4],Output,PIN_AD24,4,B4_N0,PIN_D11,,,,,,
display3[5],Output,PIN_AF23,4,B4_N0,PIN_D9,,,,,,
display3[6],Output,PIN_Y19,4,B4_N0,PIN_H10,,,,,,
display_estado[0],Output,PIN_AB19,4,B4_N0,PIN_B11,,,,,,
display_estado[1],Output,PIN_AA19,4,B4_N0,PIN_C11,,,,,,
display_estado[2],Output,PIN_AG21,4,B4_N2,PIN_J15,,,,,,
display_estado[3],Output,PIN_AH21,4,B4_N2,PIN_F11,,,,,,
display_estado[4],Output,PIN_AE19,4,B4_N1,PIN_R27,,,,,,
display_estado[5],Output,PIN_AF19,4,B4_N1,PIN_G12,,,,,,
display_estado[6],Output,PIN_AE18,4,B4_N2,PIN_H15,,,,,,
entrada[15],Input,PIN_AA22,5,B5_N2,PIN_C15,,,,,,
entrada[14],Input,PIN_AA23,5,B5_N2,PIN_A6,,,,,,
entrada[13],Input,PIN_AA24,5,B5_N2,PIN_A8,,,,,,
entrada[12],Input,PIN_AB23,5,B5_N2,PIN_E10,,,,,,
entrada[11],Input,PIN_AB24,5,B5_N2,PIN_B6,,,,,,
entrada[10],Input,PIN_AC24,5,B5_N2,PIN_E15,,,,,,
entrada[9],Input,PIN_AB25,5,B5_N1,PIN_F12,,,,,,
entrada[8],Input,PIN_AC25,5,B5_N2,PIN_E12,,,,,,
entrada[7],Input,PIN_AB26,5,B5_N1,PIN_F15,,,,,,
entrada[6],Input,PIN_AD26,5,B5_N2,PIN_J12,,,,,,
entrada[5],Input,PIN_AC26,5,B5_N2,PIN_A12,,,,,,
entrada[4],Input,PIN_AB27,5,B5_N1,PIN_J13,,,,,,
entrada[3],Input,PIN_AD27,5,B5_N2,PIN_C13,,,,,,
entrada[2],Input,PIN_AC27,5,B5_N2,PIN_D10,,,,,,
entrada[1],Input,PIN_AC28,5,B5_N2,PIN_A11,,,,,,
entrada[0],Input,PIN_AB28,5,B5_N1,PIN_J28,,,,,,
