# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: /home/kywal/Projects/logic-circuits-projects/unidade-3/register-bank/register_bank.csv
# Generated on: Tue Jan 28 15:00:14 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
display0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
display0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
display0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
display0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
display0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
display0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
display0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
display1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
display1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
display1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
display1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
display1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
display1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
display1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
display2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
display2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
display2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
display2[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
display2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
display2[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
display2[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
display3[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
display3[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
display3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
display3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
display3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
display3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
display3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
display4[0],Output,PIN_AD18,4,B4_N1,PIN_C19,,,,,,
display4[1],Output,PIN_AC18,4,B4_N1,PIN_B10,,,,,,
display4[2],Output,PIN_AB18,4,B4_N0,PIN_AE20,,,,,,
display4[3],Output,PIN_AH19,4,B4_N2,PIN_V3,,,,,,
display4[4],Output,PIN_AG19,4,B4_N2,PIN_AC22,,,,,,
display4[5],Output,PIN_AF18,4,B4_N1,PIN_AC10,,,,,,
display4[6],Output,PIN_AH18,4,B4_N2,PIN_AA12,,,,,,
input[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
input[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
input[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
input[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
input[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
input[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
input[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
input[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
input[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
input[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
input[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
input[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
input[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
input[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
input[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
input[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
pickReg,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
startReading,Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
startWriting,Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
